category,top_keys
電影新聞,"[('異塵餘生', 20), ('神鬼戰士2', 7), ('塵餘生', 6), ('沙丘', 5), ('時空英豪', 5), ('記憶拼圖', 5), ('黛西瓊斯與六人組', 5), ('玻璃之心', 5), ('超異能英雄', 4), ('君主計畫', 4)]"
影集新聞,"[('三體', 14), ('Sand Land', 14), ('蓋世豪俠', 10), ('X 戰警', 10), ('隔壁的護佐姐姐', 6), ('慶餘年 2', 5), ('X 戰警 ’97', 5), ('紳士追殺令', 5), ('超異能英雄', 4), ('君主計畫', 4)]"
電影影評,"[('魔鬼剋星：未來世', 17), ('魔鬼剋星', 17), ('魔鬼剋星：冰天凍地', 16), ('哥吉拉與金剛：新帝', 12), ('聖鬥士星矢', 11), ('哥吉拉與金剛：新帝國', 11), ('老橡樹酒館', 11), ('鬼聖胎', 11), ('威龍殺陣', 10), ('哥吉拉大戰金剛', 9)]"
電影專題,"[('青春 18×2 通往有你的旅程', 1), ('青春18×2', 1), ('我的完美日常', 1)]"
全部,"[('異塵餘生', 20), ('魔鬼剋星：未來世', 17), ('魔鬼剋星', 17), ('魔鬼剋星：冰天凍地', 16), ('哥吉拉與金剛：新帝', 14), ('三體', 14), ('Sand Land', 14), ('聖鬥士星矢', 11), ('哥吉拉與金剛：新帝國', 11), ('老橡樹酒館', 11)]"
