category,top_keys
電影新聞,"[('祝紫嫣', 13), ('馮迪索', 12), ('高慧君', 11), ('顏振發', 8), ('約翰希南', 7), ('湯姆霍蘭德', 7), ('巨石強森', 6), ('市郎', 6), ('柯拉', 6), ('羅琳', 5)]"
影集新聞,"[('周星馳', 10), ('劉慈欣', 9), ('秀仁', 8), ('詹姆士岡恩', 8), ('石原聰美', 7), ('徐譽庭', 7), ('柯拉', 6), ('林依晨', 6), ('真田廣之', 6), ('許瑋甯', 5)]"
電影影評,"[('金剛', 14), ('阿波', 8), ('歐嘉', 7), ('田畑智子', 6), ('戴米恩', 6), ('喬丹皮爾', 6), ('巴布馬利', 6), ('田畑', 5), ('李曼', 5), ('麥可傑克森', 5)]"
電影專題,"[('Jimmy ', 3), ('許光漢', 1), (' Jimmy ', 1), (' Ami', 1), (' Ami ', 1), ('張孝全', 1), ('田川', 1), ('immy ', 1), ('笹川', 1), ('澀谷', 1)]"
全部,"[('金剛', 14), ('祝紫嫣', 13), ('馮迪索', 12), ('柯拉', 12), ('高慧君', 11), ('詹姆士岡恩', 11), ('周星馳', 10), ('約翰希南', 9), ('劉慈欣', 9), ('顏振發', 8)]"
