category,top_keys
電影新聞,"[('電影', 142), ('系列', 54), ('角色', 51), ('影集', 50), ('導演', 44), ('故事', 43), ('觀眾', 39), ('作品', 38), ('演員', 26), ('世界', 24), ('小說', 24), ('劇本', 23), ('父親', 23), ('內容', 22), ('劇情', 19), ('宇宙', 19), ('生活', 18), ('計劃', 18), ('時代', 17), ('版本', 17), ('遊戲', 17), ('方式', 16), ('編劇', 16), ('沙丘', 16), ('黛西瓊斯', 16), ('目錄', 15), ('時間', 14), ('海報', 14), ('純子', 14), ('殺手', 13), ('社會', 13), ('性別', 13), ('女性', 13), ('任務', 13), ('關係', 13), ('日本', 12), ('主角', 12), ('問題', 12), ('全球', 12), ('風格', 12), ('人類', 12), ('馮迪索', 12), ('巨石強森', 12), ('音樂', 12), ('祝紫嫣', 12), ('市郎', 12), ('粉絲', 11), ('高慧君', 11), ('星際', 11), ('小丑', 11), ('元素', 10), ('影片', 10), ('樂團', 10), ('消息', 10), ('團隊', 10), ('生涯', 10), ('顏振發', 10), ('國際', 10), ('身份', 10), ('訪談', 10), ('資料', 9), ('來源', 9), ('娛樂', 9), ('鬼天廈', 9), ('片段', 9), ('經典', 9), ('丹尼維勒納夫', 9), ('怪獸', 9), ('計畫', 9), ('羅琳', 9), ('關頭', 9), ('小勞勃道尼', 9), ('工作', 8), ('動畫', 8), ('漫畫', 8), ('機會', 8), ('台北', 8), ('兄弟', 8), ('票房', 8), ('戰士', 8), ('蜘蛛人', 8), ('約翰希南', 8), ('家庭', 8), ('宮藤官九郎', 8), ('氛圍', 7), ('情況', 7), ('孩子', 7), ('經驗', 7), ('影展', 7), ('成員', 7), ('露西', 7), ('原因', 7), ('時空', 7), ('湯姆霍蘭德', 7), ('香港', 7), ('形式', 7), ('黛西', 7), ('柯拉', 7), ('作家', 6), ('行為', 6)]"
影集新聞,"[('影集', 81), ('角色', 71), ('故事', 63), ('作品', 55), ('觀眾', 46), ('內容', 37), ('主角', 33), ('劇情', 33), ('電影', 33), ('三體', 28), ('愛麗絲', 27), ('漫畫', 26), ('日本', 24), ('系列', 24), ('小說', 24), ('目錄', 23), ('動畫', 22), ('世界', 22), ('戰警', 21), ('生活', 19), ('風格', 18), ('演員', 18), ('編劇', 17), ('方式', 17), ('教授', 17), ('原作', 15), ('日劇', 15), ('父親', 15), ('蓋世豪俠', 15), ('隔壁', 15), ('全球', 14), ('宇宙', 14), ('雷普利', 14), ('周星馳', 14), ('粉絲', 13), ('時間', 13), ('計劃', 13), ('工作', 13), ('幕府', 13), ('喜劇', 12), ('少女', 12), ('影集版', 12), ('地球', 12), ('團隊', 12), ('問題', 12), ('將軍', 12), ('導演', 11), ('事情', 11), ('電視', 11), ('大衛班紐夫', 11), ('消息', 10), ('影迷', 10), ('人類', 10), ('殺手', 10), ('檢察官', 10), ('關係', 10), ('組織', 10), ('寄生獸', 10), ('秀仁', 10), ('林依晨', 10), ('姐姐', 10), ('醫師', 10), ('劉慈欣', 10), ('少年', 10), ('鳥山明', 10), ('怪人', 9), ('元素', 9), ('時代', 9), ('資料', 9), ('版本', 9), ('平台', 9), ('事件', 9), ('過程', 9), ('怪獸', 9), ('人物', 9), ('來源', 9), ('紳士', 9), ('謝爾頓', 9), ('經典', 8), ('製作人', 8), ('方面', 8), ('計畫', 8), ('電影版', 8), ('天才', 8), ('安德魯史考特', 8), ('孩子', 8), ('企鵝人', 8), ('真田廣之', 8), ('人生', 7), ('青春', 7), ('能力', 7), ('反派', 7), ('情節', 7), ('狀態', 7), ('傳奇', 7), ('背景', 7), ('主題', 7), ('女性', 7), ('權力', 7), ('柯拉', 7)]"
電影影評,"[('電影', 209), ('金剛', 119), ('哥吉拉', 104), ('角色', 74), ('劇情', 67), ('觀眾', 64), ('主角', 63), ('故事', 55), ('怪獸', 46), ('問題', 45), ('魔鬼', 45), ('剋星', 45), ('作品', 37), ('導演', 33), ('系列', 32), ('人類', 32), ('風格', 29), ('蓮子', 27), ('內容', 26), ('過程', 26), ('音樂', 23), ('天魔', 23), ('大戰', 23), ('目錄', 22), ('怪物', 19), ('家庭', 18), ('經典', 18), ('魔鬼剋星', 18), ('巨星', 18), ('元素', 17), ('孩子', 17), ('阿波', 17), ('方式', 17), ('比賽', 17), ('少女', 16), ('狗狗', 16), ('小說', 15), ('世界', 15), ('時間', 15), ('日本', 15), ('動作', 15), ('肯洛區', 15), ('演員', 14), ('情感', 14), ('鏡頭', 14), ('任務', 14), ('主題', 14), ('小姐', 14), ('橋段', 13), ('惡魔', 13), ('宗教', 13), ('警探', 13), ('整體', 13), ('社會', 13), ('宇宙', 13), ('排球', 13), ('威龍殺陣', 13), ('結局', 12), ('美國', 12), ('畫面', 12), ('真相', 12), ('樵夫', 12), ('三池', 12), ('聖鬥士星矢', 12), ('恐怖片', 12), ('遊戲', 12), ('父母', 11), ('情節', 11), ('事實', 11), ('全球', 11), ('功夫', 11), ('氛圍', 11), ('感覺', 11), ('情況', 11), ('精神', 11), ('戲份', 11), ('地方', 11), ('少年', 11), ('來源', 11), ('秋乃', 11), ('極限', 11), ('人物', 10), ('續集', 10), ('記憶', 10), ('關係', 10), ('反派', 10), ('雪兒', 10), ('王子', 10), ('漫畫', 10), ('動畫', 10), ('帝國', 10), ('雷鬼', 10), ('情緒', 9), ('人生', 9), ('題材', 9), ('環境', 9), ('教練', 9), ('片段', 9), ('台灣', 9), ('票房', 9)]"
電影專題,"[('電影', 387), ('作品', 74), ('日本', 72), ('魔法公主', 61), ('忍者', 60), ('角色', 55), ('故事', 54), ('主角', 52), ('觀眾', 51), ('美國', 51), ('導演', 50), ('霍元甲', 48), ('遊戲', 44), ('海怪', 44), ('發射器', 41), ('蜘蛛人', 40), ('內容', 38), ('錢湯', 35), ('宇宙', 34), ('劇本', 34), ('工作', 33), ('設計', 32), ('人類', 32), ('公司', 31), ('漫畫', 31), ('編劇', 30), ('事實', 28), ('驚魂', 28), ('機器偶', 28), ('文化', 27), ('宮﨑駿', 27), ('動畫', 27), ('過程', 26), ('佛雷金', 26), ('英雄', 25), ('蝙蝠俠', 25), ('世界', 24), ('音樂', 24), ('電影版', 24), ('演員', 23), ('目錄', 22), ('歷史', 22), ('問題', 22), ('好萊塢', 22), ('紅色', 22), ('佛萊迪餐館', 21), ('芭比', 21), ('平山', 20), ('生活', 20), ('台灣', 19), ('森林', 19), ('自然', 18), ('時間', 18), ('李連杰', 18), ('推理', 18), ('公廁', 17), ('原因', 17), ('畫面', 17), ('昆汀', 17), ('蛛絲', 17), ('方式', 16), ('公主', 16), ('吉卜力', 16), ('近藤', 16), ('電視台', 16), ('現場', 16), ('麥克', 16), ('惡魔', 16), ('劇情', 15), ('系列', 15), ('橋段', 15), ('版本', 15), ('影業', 15), ('大師', 15), ('機會', 15), ('事件', 15), ('餐館', 15), ('阿摩特', 15), ('配樂', 15), ('華爾街', 15), ('刺客', 15), ('東京', 14), ('時代', 14), ('票房', 14), ('武術', 14), ('廣島', 14), ('機器', 14), ('蘿莎', 14), ('彼得', 14), ('地方', 13), ('市場', 13), ('少女', 13), ('兄弟', 13), ('華納', 13), ('宋康昊', 13), ('史柯西斯', 13), ('雷恩', 13), ('生物', 12), ('形象', 12), ('神話', 12)]"
全部,"[('電影', 771), ('角色', 251), ('故事', 215), ('作品', 204), ('觀眾', 200), ('主角', 160), ('導演', 138), ('影集', 137), ('劇情', 134), ('系列', 125), ('日本', 123), ('內容', 123), ('金剛', 123), ('哥吉拉', 114), ('問題', 91), ('人類', 86), ('世界', 85), ('目錄', 82), ('演員', 81), ('宇宙', 80), ('遊戲', 78), ('漫畫', 75), ('小說', 70), ('美國', 70), ('編劇', 68), ('動畫', 67), ('過程', 67), ('劇本', 67), ('怪獸', 67), ('方式', 66), ('風格', 65), ('生活', 64), ('音樂', 62), ('忍者', 61), ('魔法公主', 61), ('時間', 60), ('工作', 59), ('魔鬼', 50), ('時代', 49), ('蜘蛛人', 48), ('霍元甲', 48), ('少女', 46), ('經典', 46), ('父親', 46), ('剋星', 46), ('全球', 45), ('事實', 45), ('關係', 45), ('版本', 44), ('海怪', 44), ('設計', 43), ('粉絲', 42), ('元素', 41), ('孩子', 41), ('發射器', 41), ('文化', 40), ('畫面', 40), ('社會', 40), ('任務', 40), ('台灣', 39), ('事件', 35), ('英雄', 35), ('家庭', 35), ('錢湯', 35), ('巨星', 34), ('來源', 33), ('好萊塢', 33), ('原因', 33), ('電影版', 33), ('公司', 33), ('橋段', 32), ('主題', 32), ('票房', 32), ('愛麗絲', 32), ('原作', 31), ('喜劇', 31), ('機會', 31), ('計劃', 31), ('地方', 31), ('計畫', 31), ('動作', 31), ('大戰', 31), ('歷史', 31), ('人物', 31), ('怪物', 31), ('團隊', 30), ('女性', 30), ('惡魔', 30), ('結局', 29), ('海報', 28), ('殺手', 28), ('續集', 28), ('三體', 28), ('蝙蝠俠', 28), ('驚魂', 28), ('機器偶', 28), ('人生', 27), ('氛圍', 27), ('影迷', 27), ('精神', 27)]"
