category,top_keys
電影新聞,"[('祝紫嫣', 13), ('馮迪索', 12), ('高慧君', 11), ('顏振發', 8), ('約翰希南', 7), ('湯姆霍蘭德', 7), ('巨石強森', 6), ('市郎', 6), ('柯拉', 6), ('羅琳', 5), ('亨利卡維爾', 5), ('勞勃道尼', 5), ('希朵妮', 4), ('瓦昆菲尼克斯', 4), ('納森諾蘭', 4), ('魯妮', 4), ('柔伊莎達娜', 4), ('佛利伍麥克', 4), ('菲比沃勒布里奇', 4), ('希拉里凱斯', 3), ('安迪威爾', 3), ('千黛亞', 3), ('德瑞克奇安佛蘭斯', 3), ('詹姆士岡恩', 3), ('諾蘭', 3), ('黛西', 3), ('卡麥隆', 3), ('阿清', 3), ('小渚', 3), ('麥克斯', 3), ('伊莎貝雨蓓', 2), ('朵妮', 2), ('雨蓓', 2), ('莎拉', 2), ('高爾夫球', 2), ('提姆克林', 2), ('丹尼維勒納夫', 2), ('約翰古德曼', 2), ('安德', 2), ('魏斯安德森', 2), ('克里斯', 2), ('懷特羅素', 2), (' 羅琳', 2), ('丹尼爾雷德克里夫', 2), ('艾瑪華森', 2), ('拉里凱斯', 2), ('雷恩葛斯林', 2), ('安娜德', 2), ('約翰維克', 2), ('安娜德哈瑪斯', 2), ('石強森', 2), ('基特哈靈頓', 2), ('哈靈頓', 2), ('陶德菲利普斯', 2), ('哈莉奎茵', 2), ('菲利普斯', 2), ('布萊德利庫柏', 2), ('德瑞克', 2), ('達利烏斯馬德', 2), ('庫柏', 2), ('派拉蒙', 2), ('吳慷仁', 2), ('謝咏欣', 2), ('李駿碩', 2), ('林覺民', 2), ('克里斯多福諾蘭', 2), ('勃道尼', 2), ('林賽', 2), ('休伯特', 2), ('宮藤官九郎', 2), ('歐吉桑', 2), ('磯村勇斗', 2), ('藤官九郎', 2), ('九郎', 2), ('瑪雅', 2), ('佐藤健', 2), ('岡田麿里', 2), ('艾莉絲吉拉德', 1), ('貝雨蓓', 1), ('艾莉絲', 1), ('伊原剛志', 1), ('艾莉', 1), ('伊原剛', 1), ('伊原', 1), ('柳皓彬', 1), ('岡本信彦', 1), ('米卡莎', 1), ('川由依', 1), ('莉薇', 1), ('徐毅涵', 1), ('謝志文', 1), ('黃瀞怡', 1), ('陳妤', 1), ('潘君侖', 1), ('白癡公主', 1), ('鄭茵聲', 1), ('書庭', 1), ('澎恰恰', 1), ('陳峰永', 1), ('姆克林', 1), ('沙丘 ', 1), ('喬治史邁利', 1), ('喬韓森 ', 1), ('菲利浦西摩霍夫', 1), ('理考夫曼', 1), ('娜塔莉波曼', 1), ('布萊德', 1), ('吉恩西斯科', 1), ('埃伯特', 1), ('大衛', 1), ('汪戴爾', 1), ('懷特', 1), ('寇特羅素', 1), ('澤井杏奈', 1), ('科蕾西克萊門斯', 1), ('渡部', 1), ('山本真理', 1), ('安德斯霍姆', 1), ('喬蒂皮特', 1), ('克里斯布雷克', 1), ('西穆斯', 1), ('華頓哥', 1), ('麥西穆斯', 1), ('佩德羅帕斯卡', 1), ('雷利史考', 1), ('羅素克', 1), ('昆菲尼克斯', 1), ('羅素克洛', 1), ('康妮尼爾森', 1), ('路希拉', 1), ('路休斯', 1), ('戴瑞克傑寇比', 1), ('約瑟夫奎', 1), ('羅馬皇帝', 1), ('丹尼爾', 1), ('艾瑪華', 1), ('雷德克里夫', 1), ('華納', 1), ('羅琳本人', 1), ('菲爾羅德', 1), ('克里斯米勒', 1), ('德魯戈達德', 1), ('藍葛瑞斯', 1), ('米高梅', 1), ('羅德', 1), ('米勒', 1), ('朗霍華', 1), ('基努李', 1), ('沙伊哈頓', 1), ('伊恩麥克夏恩', 1), ('溫斯頓', 1), ('蘭斯瑞迪克', 1), ('李杜斯', 1), ('亞當', 1), ('福格森', 1), ('路克哈伯', 1), ('約翰希', 1), ('戴克斯薛普', 1), ('強森', 1), (' alpha ', 1), ('傑森史塔森', 1), ('哈伯斯', 1), ('傑洛特', 1), ('蓋瑞奇', 1), ('查德史塔赫斯基', 1), ('羅德布萊克斯特', 1), ('HBO ', 1), ('喬治·R·R·馬丁', 1), ('恩雪諾', 1), ('瓊恩雪諾', 1), ('馬丁', 1), ('強柏恩瑟', 1), ('千黛', 1), ('亞瑟弗萊克', 1), ('阿卡漢', 1), ('哈琳昆澤爾', 1), ('亞瑟', 1), ('菲尼克斯', 1), (' 10', 1), ('布萊德利', 1), ('泰特斯卡法爾', 1), (' DC', 1), ('戴夫巴蒂斯塔', 1), ('摩拉', 1), ('葛摩拉', 1), ('格魯特', 1), ('克格林', 1), ('卡斯莫', 1), ('史蒂夫約克奇', 1), (' JJ 亞伯拉罕', 1), ('伊莎達娜', 1), ('瑚拉', 1), ('克里斯潘恩', 1), ('柴克瑞昆杜', 1), ('門佩格', 1), ('周約翰', 1), ('伊莎達', 1), ('蓋瑞特荷德倫', 1), ('安卓亞霍娜', 1), ('馬可佩雷戈', 1)]"
影集新聞,"[('周星馳', 10), ('劉慈欣', 9), ('秀仁', 8), ('詹姆士岡恩', 8), ('石原聰美', 7), ('徐譽庭', 7), ('柯拉', 6), ('林依晨', 6), ('真田廣之', 6), ('許瑋甯', 5), ('葉文潔', 5), ('柯林法洛', 5), ('大衛班紐夫', 5), ('真田廣', 5), ('米莉·芭比·布朗', 5), ('湯姆雷普利', 4), ('菲比沃勒布里奇', 4), ('范閒', 4), ('D·B·魏斯', 4), ('蓋瑞奇', 4), ('米奇', 3), ('海蒂', 3), ('雷普利', 3), ('張若昀', 3), ('李沁', 3), ('曼蒂', 3), ('莎拉', 2), ('高爾夫球', 2), ('提姆克林', 2), ('矢本悠馬 ', 2), ('懷特羅素', 2), ('俊京', 2), ('基特哈靈頓', 2), ('哈靈頓', 2), ('安德魯史考特', 2), ('賀軍翔', 2), ('柯震東', 2), ('簡慶芬', 2), ('鄭元暢', 2), ('賀軍', 2), ('蔡健雅', 2), ('吳鎮宇', 2), ('愛麗絲', 2), ('川榮李奈', 2), ('高杉真宙', 2), ('彌彥', 2), ('大河', 2), ('伊文思', 2), ('奧斯華', 2), ('鳥山明', 2), ('亨利傑瑞奇', 2), ('約翰希南', 2), ('謝爾頓', 2), ('喬治', 2), ('李維', 2), ('柳皓彬', 1), ('岡本信彦', 1), ('米卡莎', 1), ('川由依', 1), ('莉薇', 1), ('姆克林', 1), ('西村', 1), ('龜梨和也 ', 1), ('森知美', 1), ('梅田祐', 1), ('汪戴爾', 1), ('克里斯', 1), ('懷特', 1), ('寇特羅素', 1), ('澤井杏奈', 1), ('科蕾西克萊門斯', 1), ('渡部', 1), ('山本真理', 1), ('安德斯霍姆', 1), ('約翰古德曼', 1), ('喬蒂皮特', 1), ('克里斯布雷克', 1), ('山崎', 1), ('古澤', 1), ('詹姆斯柯麥隆', 1), ('鄭秀', 1), ('全少妮', 1), ('薛強祐', 1), ('崔俊京', 1), ('李貞賢', 1), ('權海驍', 1), ('金吝勸', 1), ('尹賢吉', 1), ('李玄均', 1), ('秀仁體', 1), ('慶熙', 1), ('羅德布萊克斯特', 1), ('HBO ', 1), ('喬治·R·R·馬丁', 1), ('恩雪諾', 1), ('瓊恩雪諾', 1), ('馬丁', 1), ('達科塔芬妮', 1), ('尼弗林', 1), ('艾莉特薩姆納', 1), ('麥特戴蒙', 1), ('義大利', 1), ('莫里亞蒂', 1), ('沃勒布里奇', 1), ('安德', 1), ('茜安克利福德', 1), ('奧莉薇亞考曼', 1), ('布雷特吉爾曼', 1), ('休斯金納', 1), ('班奧德里基', 1), ('珍妮理查德森', 1), ('蘇菲亞波提拉', 1), ('艾德斯克林', 1), ('艾提克斯諾伯', 1), ('艾提克斯', 1), ('查克史奈德', 1), (' Netflix ', 1), ('南勝久', 1), ('花澤香菜', 1), ('寓言', 1), ('澤城美雪', 1), ('佐藤洋子', 1), ('大塚明', 1), ('津田健次郎', 1), ('小村哲生', 1), (' Boss', 1), ('高橋良', 1), ('路斯明', 1), ('謝盈萱', 1), ('劉若英', 1), ('蔡淑臻', 1), ('林依', 1), ('袁湘琴', 1), ('何瑞', 1), ('于向立', 1), ('阿Ken ', 1), ('Cafe ', 1), ('卡 1 張', 1), ('曼迪', 1), ('劉鎮偉', 1), ('周星', 1), ('段飛', 1), ('吳孟達', 1), ('羅慧娟', 1), ('李力持', 1), ('門脇麥', 1), ('門脇麥 ', 1), ('大森南朋 ', 1), ('永瀨廉', 1), ('櫻庭', 1), ('小手伸也 ', 1), ('小野夏芽', 1), ('日劇', 1), ('星嶺', 1), ('崎大河', 1), ('高杉真宙 ', 1), ('古田新', 1), ('佐小野夏芽', 1), ('千金火神玲', 1), ('夏芽', 1), ('拉姆', 1), ('瀧本', 1), ('劉宇昆', 1), ('曾國祥', 1), ('安德魯史坦頓', 1), ('瑞米波德斯瓦', 1), ('李維斯', 1), ('奧斯華柯波帕', 1), ('譚市', 1), ('克莉絲汀米利歐', 1), ('卡麥', 1), ('蘇菲亞法爾康尼', 1), ('克藍西布朗', 1), ('麥可凱利', 1), ('薩爾馬洛尼', 1), ('尼維提', 1), ('麥可澤根', 1), ('蘭斯菲利斯', 1), ('西奧羅西', 1), ('卡門艾喬格', 1), ('弗朗索瓦周', 1), ('瓦昆菲尼克', 1), ('凱塔拉', 1), ('琪亞溫緹歐 飾', 1), ('朱克', 1), ('達拉斯劉 飾', 1), ('張若昀 ', 1), ('李小冉', 1), ('劉端端 ', 1), ('李小冉 ', 1), ('李沁 ', 1), ('趙寧', 1), ('林澤君', 1), ('林婉兒', 1), ('慶帝」陳道明', 1), ('海棠朵朵', 1), ('辛芷蕾', 1), ('馬强势集结', 1), ('2024 年', 1), ('横嶋俊久', 1)]"
電影影評,"[('金剛', 14), ('阿波', 8), ('歐嘉', 7), ('田畑智子', 6), ('戴米恩', 6), ('喬丹皮爾', 6), ('巴布馬利', 6), ('田畑', 5), ('李曼', 5), ('麥可傑克森', 5), ('麥克斯', 4), ('哥吉拉', 4), ('惠君', 4), ('Showbox', 4), ('克里斯', 4), ('克里斯潘恩', 4), ('結城馨', 4), ('妮卡', 3), ('羅素克洛', 3), ('吉拉', 3), ('米莉芭比布朗', 3), ('傑克葛倫霍', 3), ('庫梅爾', 3), ('萊諾李奇', 3), ('瑞吉爾', 2), ('瑪雅', 2), ('相米慎二', 2), ('羅素', 2), ('樊雪兒', 2), ('樊承天', 2), ('西恩賓', 2), ('馬克', 2), ('金高銀', 2), ('張宰賢', 2), ('肯洛區', 2), ('崔普', 2), ('屈克史威茲', 2), ('麥奎格', 2), ('柏布朗', 2), ('溫斯頓', 2), ('阿瑟頓', 2), ('阿卡斯特', 2), ('麥可', 2), ('巴布狄倫', 2), ('萊諾', 2), ('艾琳杜奧姆', 1), ('山卓傑諾韋西', 1), ('琳娜', 1), ('費里歐', 1), ('湯瑪茲曼德斯', 1), ('歐嘉和瑪雅', 1), ('克斯', 1), ('米慎二', 1), ('賢一', 1), ('南沙', 1), ('櫻田淳子', 1), ('阿稔', 1), ('李維', 1), ('科夏伊', 1), ('約翰維克', 1), ('衛賽爾', 1), ('雷哥萊畢克', 1), ('傑瑞高史密斯', 1), ('大衛賽爾澤', 1), ('連恩尼遜', 1), ('陳紫萱', 1), ('承天', 1), ('乾哥', 1), ('柳聶民', 1), ('傑尼斯', 1), ('三池', 1), ('宮彰', 1), ('吉岡里帆', 1), ('渋川清彦', 1), ('麥當勞', 1), ('馬什巴金斯基', 1), ('麥蒂森艾斯曼', 1), ('詹森', 1), ('麥特戴蒙', 1), ('克瓦特尼', 1), ('威爾森', 1), ('雷利史考特', 1), ('哥吉', 1), ('日向翔陽', 1), ('烏鴉', 1), ('林ゆうき', 1), ('etflix ', 1), ('拉頓', 1), ('練建宏', 1), ('林惠君', 1), ('玉米', 1), ('莎莉', 1), ('林惠君千里', 1), ('惠君藉', 1), ('羅泓軫', 1), ('花林', 1), ('奉吉', 1), ('尚德', 1), ('崔岷植 ', 1), ('高榮根', 1), ('柳海真', 1), ('風水師尚德', 1), ('金智安 ', 1), ('金高', 1), ('滿素材', 1), ('黃晸珉', 1), ('秋乃', 1), ('西村培', 1), ('魔王戰', 1), ('張力', 1), ('肯洛', 1), ('保羅拉維提', 1), ('5 億美', 1), ('蓮安德魯', 1), ('蕾貝卡霍爾', 1), ('吉亞', 1), ('布萊恩泰瑞亨利', 1), ('丹史蒂文斯', 1), ('亞歷山', 1), ('柯斯嘉', 1), ('伊蓮', 1), ('貝卡霍爾', 1), ('溫高德', 1), ('史威茲', 1), ('Road House', 1), ('法蘭姬', 1), ('屈克史', 1), ('傑克葛倫', 1), ('道格', 1), ('奎格', 1), ('席妮史威尼', 1), ('明明', 1), ('溫子仁', 1), ('西卡', 1), ('汪達懷斯 ', 1), ('女愛麗絲', 1), ('根伯恩斯 ', 1), ('史賓格', 1), ('菲比', 1), ('崔佛與凱莉', 1), ('珍妮', 1), ('古魯柏', 1), ('爾墨瑞', 1), ('彼得', 1), ('艾克洛伊', 1), ('雷博士', 1), ('尼哈德森', 1), ('華頓', 1), ('派頓奧斯華', 1), ('詹姆士', 1), ('庫梅爾南賈尼', 1), ('當益壯', 1), ('尼爾卡盧亞', 1), ('克里斯會', 1), ('塔利克薩利赫 ', 1), ('克里斯潘', 1), ('班佛斯特', 1), ('基佛蘇德蘭', 1), ('妮娜霍斯', 1), ('艾迪馬森', 1), ('吉莉安賈布斯', 1), ('亞瑟', 1), ('巴布馬利生', 1), ('久我清', 1), ('永瀨廉 ', 1), ('城馨', 1), ('杉咲花', 1), ('諾李奇', 1), ('王子', 1), ('瑪丹娜', 1), ('四海', 1), ('汪達 ', 1), ('汪達', 1), ('可傑克森', 1), ('傑克森', 1), ('李奇', 1), ('布狄倫', 1), ('布魯斯史', 1), ('普林斯汀', 1)]"
電影專題,"[('霍元甲', 25), ('佛雷金', 24), ('李連杰', 18), ('山繆', 17), ('宮﨑駿', 16), ('昆汀', 14), ('鮑德溫', 14), ('蘿莎', 13), ('宋康昊', 13), ('顏尼歐', 13), ('塚本', 11), ('艾莉', 10), ('麥克', 9), ('瑪格', 9), ('史柯西斯', 9), ('隋棠', 9), ('邁爾斯', 9), ('傑克雷恩', 9), ('錢湯', 8), ('希爾', 8), ('華卓斯基', 8), ('彼得', 8), ('陳真', 7), ('布萊德利', 7), ('嘉莉', 7), ('凡妮莎', 6), ('狄卡皮歐', 6), ('奉俊昊', 6), ('陳淑芳', 6), ('安德魯', 6), ('阿蒙特', 5), ('葛莉塔', 5), ('路易斯布魯', 5), ('岡恩', 5), ('狄尼洛', 5), ('喬納希爾', 5), ('班克斯', 5), ('拉慕斯', 5), ('康納萊', 5), ('查德', 5), ('宮﨑', 4), ('李小龍', 4), ('伯恩斯坦', 4), ('萊特', 4), ('夏洛特', 4), ('西奧多', 4), ('詹姆斯岡恩', 4), ('盧卡斯', 4), ('韓索羅', 4), ('哈里遜福特', 4), ('雷恩', 4), ('彼得帕克', 4), ('Jimmy ', 3), ('阿席達卡', 3), ('席達卡', 3), ('﨑駿', 3), ('達拉城', 3), ('達卡', 3), ('近藤', 3), ('柯西斯', 3), ('史蒂芬史', 3), ('——', 3), ('鬼魂', 3), ('阿夫頓', 3), ('雷金', 3), ('阿摩特', 3), ('李奧納多狄卡皮歐', 3), ('奧斯卡', 3), ('諾亞', 3), ('傑克葛倫霍', 3), ('路易斯', 3), ('俊昊', 3), ('威廉斯', 3), ('織田', 3), ('澤田', 3), ('月光', 3), ('貝爾福', 3), ('莉亞', 3), ('陳昊森', 3), ('鮑德', 3), ('于仁泰', 2), ('梁小龍', 2), ('劉家輝', 2), ('高畑', 2), ('哈維溫斯坦', 2), ('拉蒙', 2), ('馬丁史柯西斯', 2), ('史匹柏', 2), ('史蒂芬', 2), ('傑克', 2), ('艾比', 2), ('史蒂夫瑞克蘭', 2), ('伊莉莎白', 2), ('阿拉特里', 2), ('布拉提', 2), ('佛雷', 2), ('阿摩', 2), ('奧塞奇', 2), ('科波拉', 2), ('史派', 2), ('薩曼莎', 2), ('高彗玲', 2), ('華納', 2), ('安朵美達', 2), ('柏修斯', 2), ('吉洛伊', 2), ('傑克葛倫', 2), ('悟朗', 2), ('史朗', 2), ('珍妮佛霍蘭德', 2), ('朴起鏞', 2), ('昆汀塔倫提諾', 2), ('科克曼', 2), ('羅賓威廉斯', 2), ('寇特羅素', 2), ('岸田森', 2), ('包蒂垂', 2), ('德布', 2), ('皮克斯', 2), ('喬登貝爾福', 2), ('……', 2), ('納希爾', 2), ('唐尼', 2), ('狄帕瑪', 2), ('韓索', 2), ('路克', 2), ('艾米歐文', 2), ('卡珊卓', 2), ('湯姆克蘭西', 2), ('大衛雷奇', 2), ('小杉正一', 2), ('喬伊舒馬克', 2), ('許光漢', 1), (' Jimmy ', 1), (' Ami', 1), (' Ami ', 1), ('張孝全', 1), ('田川', 1), ('immy ', 1), ('笹川', 1), ('澀谷', 1), ('吉爾', 1), ('胡姆巴巴', 1), ('達達拉城', 1), ('ダイダラボッチ', 1), ('達拉', 1), ('趙懷安……', 1), ('止戈', 1), ('袁和平', 1), ('袁家', 1), ('黃元申', 1), ('高雄', 1), ('趙文卓', 1), ('梁家仁', 1), ('袁日初', 1), ('王道', 1), ('左孝虎', 1), ('羅莽', 1), ('甄子丹', 1), ('錢小豪', 1), ('霍東閣', 1), ('部霍元甲', 1), ('霍壽金', 1), ('霍恩第', 1), ('利浮華', 1), ('徐皓峰', 1), ('盧貝松', 1), ('宮﨑駿九歲', 1), ('高畑勳', 1), ('ロダクション', 1), ('吉卜力', 1), ('喜文', 1), ('米拉麥克斯', 1), ('木敏夫', 1), ('尼爾蓋曼', 1), ('李奧納德伯恩斯坦', 1), ('蒙蒂亞雷格雷', 1), ('庫柏', 1), ('凱莉墨里根', 1), ('威尼斯', 1), ('馬丁', 1), ('恩斯坦', 1), ('聖誕老公公', 1), ('喬許辛格', 1), ('德菲利普斯', 1), ('克里斯汀貝爾', 1), ('李奧納德', 1), ('艾德格．萊特', 1), ('艾莉自', 1), ('雷德魯司小鎮', 1), (' Corwell', 1), ('山瑛太', 1), ('史考', 1), ('易怒', 1), ('拉斯凱', 1), ('凱吉', 1), ('蓋瑞', 1), ('伊莉莎白阿夫頓', 1), ('凡妮莎阿夫頓', 1), ('普契尼', 1)]"
全部,"[('霍元甲', 25), ('佛雷金', 24), ('李連杰', 18), ('山繆', 17), ('宮﨑駿', 16), ('金剛', 14), ('昆汀', 14), ('鮑德溫', 14), ('祝紫嫣', 13), ('蘿莎', 13), ('宋康昊', 13), ('顏尼歐', 13), ('馮迪索', 12), ('柯拉', 12), ('艾莉', 11), ('高慧君', 11), ('詹姆士岡恩', 11), ('塚本', 11), ('周星馳', 10), ('彼得', 10), ('約翰希南', 9), ('劉慈欣', 9), ('麥克', 9), ('瑪格', 9), ('史柯西斯', 9), ('隋棠', 9), ('邁爾斯', 9), ('傑克雷恩', 9), ('顏振發', 8), ('湯姆霍蘭德', 8), ('布萊德利', 8), ('菲比沃勒布里奇', 8), ('歐嘉', 8), ('秀仁', 8), ('阿波', 8), ('錢湯', 8), ('希爾', 8), ('華卓斯基', 8), ('克里斯', 7), ('麥克斯', 7), ('石原聰美', 7), ('徐譽庭', 7), ('陳真', 7), ('嘉莉', 7), ('巨石強森', 6), ('市郎', 6), ('林依晨', 6), ('真田廣之', 6), ('田畑智子', 6), ('戴米恩', 6), ('傑克葛倫霍', 6), ('喬丹皮爾', 6), ('巴布馬利', 6), ('凡妮莎', 6), ('狄卡皮歐', 6), ('奉俊昊', 6), ('陳淑芳', 6), ('安德魯', 6), ('瓦昆菲尼克斯', 5), ('羅琳', 5), ('亨利卡維爾', 5), ('蓋瑞奇', 5), ('克里斯潘恩', 5), ('奧斯卡', 5), ('勞勃道尼', 5), ('許瑋甯', 5), ('葉文潔', 5), ('柯林法洛', 5), ('大衛班紐夫', 5), ('真田廣', 5), ('米莉·芭比·布朗', 5), ('田畑', 5), ('李曼', 5), ('麥可傑克森', 5), ('阿蒙特', 5), ('葛莉塔', 5), ('路易斯布魯', 5), ('岡恩', 5), ('狄尼洛', 5), ('喬納希爾', 5), ('班克斯', 5), ('拉慕斯', 5), ('康納萊', 5), ('查德', 5), ('希朵妮', 4), ('莎拉', 4), ('高爾夫球', 4), ('提姆克林', 4), ('寇特羅素', 4), ('懷特羅素', 4), ('納森諾蘭', 4), ('羅素克洛', 4), ('魯妮', 4), ('基特哈靈頓', 4), ('哈靈頓', 4), ('庫柏', 4), ('柔伊莎達娜', 4), ('佛利伍麥克', 4), ('瑪雅', 4), ('湯姆雷普利', 4), ('范閒', 4), ('D·B·魏斯', 4), ('哥吉拉', 4), ('惠君', 4), ('Showbox', 4), ('結城馨', 4), ('宮﨑', 4), ('李小龍', 4), ('伯恩斯坦', 4), ('萊特', 4), ('夏洛特', 4), ('西奧多', 4), ('詹姆斯岡恩', 4), ('盧卡斯', 4), ('韓索羅', 4), ('哈里遜福特', 4), ('雷恩', 4), ('彼得帕克', 4), ('約翰古德曼', 3), ('安德', 3), ('希拉里凱斯', 3), ('華納', 3), ('安迪威爾', 3), ('約翰維克', 3), ('溫斯頓', 3), ('馬丁', 3), ('千黛亞', 3), ('德瑞克奇安佛蘭斯', 3), ('諾蘭', 3), ('黛西', 3), ('安德魯史考特', 3), ('卡麥隆', 3), ('史匹柏', 3), ('阿清', 3), ('小渚', 3), (' Netflix ', 3), ('Netflix', 3), ('米奇', 3), ('海蒂', 3), ('雷普利', 3), ('張若昀', 3), ('李沁', 3), ('曼蒂', 3), ('史蒂芬', 3), ('李維', 3), ('妮卡', 3), ('吉拉', 3), ('米莉芭比布朗', 3), ('傑克葛倫', 3), ('庫梅爾', 3), ('萊諾李奇', 3), ('Jimmy ', 3), ('阿席達卡', 3), ('席達卡', 3), ('﨑駿', 3), ('達拉城', 3), ('達卡', 3), ('近藤', 3), ('柯西斯', 3), ('史蒂芬史', 3), ('——', 3), ('鬼魂', 3), ('阿夫頓', 3), ('雷金', 3), ('阿摩特', 3), ('李奧納多狄卡皮歐', 3), ('諾亞', 3), ('路易斯', 3), ('俊昊', 3), ('威廉斯', 3), ('織田', 3), ('澤田', 3), ('月光', 3), ('貝爾福', 3), ('莉亞', 3), ('陳昊森', 3), ('鮑德', 3), ('伊莎貝雨蓓', 2), ('朵妮', 2), ('雨蓓', 2), ('柳皓彬', 2), ('岡本信彦', 2), ('米卡莎', 2), ('川由依', 2), ('莉薇', 2), ('姆克林', 2), ('丹尼維勒納夫', 2), ('魏斯安德森', 2), ('布萊德', 2), ('大衛', 2), ('汪戴爾', 2), ('懷特', 2), ('澤井杏奈', 2), ('科蕾西克萊門斯', 2), ('渡部', 2), ('山本真理', 2), ('安德斯霍姆', 2), ('喬蒂皮特', 2), ('克里斯布雷克', 2), ('羅素克', 2)]"
 
